1 0 0
****************************************************************************************************************
* G4Track Information:   Particle = geantino,   Track ID = 1,   Parent ID = 0
****************************************************************************************************************

Step#    X(mm)    Y(mm)    Z(mm) KinE(MeV)  dE(MeV) StepLeng TrackLeng  NextVolume ProcName
   16        0        0      232         1        0      1.5       382 ShieldCavity Transportation
   17        0        0      522         1        0      290       672 ShieldCopper Transportation
   18        0        0      575         1        0     52.5       725 ShieldPolyethylene Transportation
   19        0        0      775         1        0      200       925 ShieldInnerLead Transportation
   20        0        0      778         1        0        3       928 ShieldFrenchLead Transportation
   21        0        0      825         1        0       47       975 ShieldPolishLead Transportation
   22        0        0      975         1        0      150  1.12e+03         Lab Transportation
   23        0        0    2e+03         1        0 1.02e+03  2.15e+03  OutOfWorld Transportation
****************************************************************************************************************

0 0 -1
****************************************************************************************************************
* G4Track Information:   Particle = geantino,   Track ID = 1,   Parent ID = 0
****************************************************************************************************************

Step#    X(mm)    Y(mm)    Z(mm) KinE(MeV)  dE(MeV) StepLeng TrackLeng  NextVolume ProcName
    0        0        0     -150         1        0        0         0         LXe initStep
    1        0        0     -328         1        0      178       178 CathodeGridMesh Transportation
    2        0        0     -328         1        0     0.13       178         LXe Transportation
    3        0        0     -375         1        0     47.1       225 BottomPmtPlate Transportation
    4        0        0     -378         1        0      2.5       228         LXe Transportation
    5        0        0     -481         1        0      103       331 CryostatVesselInnerWallDome Transportation
    6        0        0     -482         1        0    0.987       332 VacuumCryostatVessel Transportation
    7        0        0     -507         1        0     25.4       357 CryostatVesselOuterWallDome Transportation
    8        0        0     -508         1        0     1.02       358 ShieldCavity Transportation
    9        0        0     -572         1        0     64.1       422 ShieldCopper Transportation
   10        0        0     -575         1        0      2.5       425 ShieldPolyethylene Transportation
   11        0        0     -775         1        0      200       625 ShieldInnerLead Transportation
   12        0        0     -778         1        0        3       628 ShieldFrenchLead Transportation
   13        0        0     -825         1        0       47       675 ShieldPolishLead Transportation
   14        0        0     -975         1        0      150       825         Lab Transportation
   15        0        0   -2e+03         1        0 1.02e+03  1.85e+03  OutOfWorld Transportation
****************************************************************************************************************




