unit: MeV
spectrum:
0.05 1.18e-12
0.15 2.126e-12
0.25 2.364e-12
0.35 2.392e-12
0.45 4.713e-12
0.55 6.755e-12
0.65 5.579e-12
0.75 3.694e-12
0.85 3.853e-12
0.95 3.826e-12
1.05 3.541e-12
1.15 3.17e-12
1.25 2.739e-12
1.35 2.353e-12
1.45 2.154e-12
1.55 2.102e-12
1.65 2.095e-12
1.75 2.148e-12
1.85 2.193e-12
1.95 2.167e-12
2.05 2.089e-12
2.15 2.027e-12
2.25 1.98e-12
2.35 1.878e-12
2.45 1.751e-12
2.55 1.605e-12
2.65 1.483e-12
2.75 1.367e-12
2.85 1.256e-12
2.95 1.153e-12
3.05 1.023e-12
3.15 8.921e-13
3.25 7.958e-13
3.35 7.092e-13
3.45 6.317e-13
3.55 5.535e-13
3.65 4.683e-13
3.75 3.746e-13
3.85 3.241e-13
3.95 2.847e-13
4.05 2.502e-13
4.15 2.112e-13
4.25 1.703e-13
4.35 1.27e-13
4.45 8.345e-14
4.55 5.567e-14
4.65 4.824e-14
4.75 4.233e-14
4.85 3.648e-14
4.95 3.227e-14
5.05 2.944e-14
5.15 2.678e-14
5.25 2.261e-14
5.35 1.808e-14
5.45 1.413e-14
5.55 1.226e-14
5.65 1.114e-14
5.75 9.996e-15
5.85 8.699e-15
5.95 6.965e-15
6.05 4.989e-15
6.15 3.37e-15
6.25 2.844e-15
6.35 2.493e-15
6.45 2.187e-15
6.55 1.867e-15
6.65 1.524e-15
6.75 1.155e-15
6.85 7.576e-16
6.95 4.4e-16
7.05 3.638e-16
7.15 3.348e-16
7.25 3.079e-16
7.35 2.813e-16
7.45 2.551e-16
7.55 2.296e-16
7.65 2.055e-16
7.75 1.844e-16
7.85 1.655e-16
7.95 1.477e-16
8.05 1.318e-16
8.15 1.169e-16
8.25 1.026e-16
8.35 8.937e-17
8.45 7.669e-17
8.55 6.409e-17
8.65 5.276e-17
8.75 4.296e-17
8.85 3.537e-17
8.95 2.825e-17
9.05 2.145e-17
9.15 1.497e-17
9.25 9.222e-18
9.35 6.9e-18
9.45 6.283e-18
9.55 5.724e-18
9.65 5.214e-18
9.75 4.746e-18
9.85 4.321e-18
9.95 3.934e-18
