unit: MeV
spectrum:
0.05 4.994e-12
0.15 9.42e-12
0.25 1.345e-11
0.35 1.709e-11
0.45 3.044e-11
0.55 4.227e-11
0.65 4.015e-11
0.75 3.571e-11
0.85 4.224e-11
0.95 4.959e-11
1.05 5.727e-11
1.15 6.598e-11
1.25 7.107e-11
1.35 6.836e-11
1.45 6.511e-11
1.55 6.138e-11
1.65 5.668e-11
1.75 5.139e-11
1.85 5.059e-11
1.95 5.066e-11
2.05 4.921e-11
2.15 4.561e-11
2.25 4.091e-11
2.35 3.559e-11
2.45 3.069e-11
2.55 2.684e-11
2.65 2.346e-11
2.75 2.067e-11
2.85 1.917e-11
2.95 1.831e-11
3.05 1.754e-11
3.15 1.694e-11
3.25 1.624e-11
3.35 1.547e-11
3.45 1.46e-11
3.55 1.38e-11
3.65 1.282e-11
3.75 1.168e-11
3.85 1.059e-11
3.95 9.728e-12
4.05 8.989e-12
4.15 8.083e-12
4.25 7.007e-12
4.35 6.133e-12
4.45 5.407e-12
4.55 4.872e-12
4.65 4.423e-12
4.75 4.088e-12
4.85 3.639e-12
4.95 3.056e-12
5.05 2.488e-12
5.15 2.158e-12
5.25 1.904e-12
5.35 1.645e-12
5.45 1.384e-12
5.55 1.126e-12
5.65 8.686e-13
5.75 6.017e-13
5.85 3.602e-13
5.95 2.956e-13
6.05 2.656e-13
6.15 2.351e-13
6.25 2.068e-13
6.35 1.774e-13
6.45 1.547e-13
6.55 1.327e-13
6.65 1.107e-13
6.75 8.867e-14
6.85 7.591e-14
6.95 6.838e-14
7.05 5.929e-14
7.15 4.919e-14
7.25 3.895e-14
7.35 2.867e-14
7.45 1.859e-14
7.55 1.442e-14
7.65 1.254e-14
7.75 1.064e-14
7.85 8.706e-15
7.95 6.766e-15
8.05 4.82e-15
8.15 2.893e-15
8.25 1.026e-15
8.35 4.636e-16
8.45 4.211e-16
8.55 3.753e-16
8.65 3.265e-16
8.75 2.949e-16
8.85 2.713e-16
8.95 2.491e-16
9.05 2.28e-16
9.15 2.077e-16
9.25 1.884e-16
9.35 1.701e-16
9.45 1.526e-16
9.55 1.358e-16
9.65 1.197e-16
9.75 1.042e-16
9.85 8.947e-17
9.95 7.524e-17
